Run,Slug,Run flag,Run type,Prompt Plots Exist,Prompt JAPAN Exists,Prompt Summary Exists,Prompt BCM Exists,Prompt Ratecheck Exists,Prompt Postpan ROOT Exists,Prompt Postpan Overload ROOT Exists,Prompt Postpan Summary Exists,Agg ROOT File Exists,BMOD Cycle Check Exists,BMOD Cycles Plots Exists,BMOD Sens csv Exists,BMOD AD Plots Exists,BMOD Slopes Exists
5777,109,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5778,109,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5786,110,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5787,110,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5788,110,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5789,110,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5790,110,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5791,110,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5792,110,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5793,110,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5794,110,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5795,110,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5796,111,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5797,111,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5798,111,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5799,111,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5800,111,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5801,111,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5802,112,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5803,112,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5804,112,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5805,112,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5806,112,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5807,112,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5808,113,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5809,113,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5810,113,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5811,113,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5812,113,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5813,113,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5814,113,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5815,112,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5816,112,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5817,114,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5818,114,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5819,114,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5866,115,None,Calibration,1,1,1,1,0,1,1,1,0,0,0,0,1,0
5867,115,None,Calibration,1,1,1,1,0,1,1,1,0,0,1,1,1,1
5868,115,None,Calibration,1,1,1,1,0,1,1,1,0,0,1,1,1,1
5869,115,None,Calibration,1,1,1,1,0,1,1,1,0,0,1,1,1,1
5871,115,Good,Calibration,1,1,1,1,1,1,1,1,1,1,0,0,1,0
5872,115,Good,Calibration,1,1,1,1,1,1,1,1,1,1,0,0,1,0
5873,115,Good,Calibration,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5874,115,Good,Calibration,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5875,115,Good,Calibration,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5876,115,Good,Calibration,1,1,1,1,1,1,1,1,1,1,0,0,1,0
5877,115,Good,Calibration,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5878,115,None,Calibration,1,1,1,1,0,1,1,1,0,0,1,1,1,1
5884,115,None,Calibration,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5885,115,None,Calibration,1,1,1,1,0,1,1,1,0,0,1,1,1,1
5887,115,None,Calibration,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5913,115,Suspicious,Calibration,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5914,115,Suspicious,Calibration,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5915,115,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5916,115,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5917,115,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5918,115,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5919,115,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5921,116,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5922,116,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5923,116,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5924,116,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5928,117,Good,Production,1,1,1,1,1,1,1,1,1,1,0,0,1,0
5929,117,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5939,117,NeedCut,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5940,117,NeedCut,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5941,118,NeedCut,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5942,118,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5943,118,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5944,118,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5947,118,Good,Calibration,1,1,1,1,0,1,1,1,0,0,1,1,1,1
5948,118,Good,Calibration,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5949,118,Good,Calibration,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5950,118,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5951,118,Suspicious,Production,1,1,1,1,0,1,1,1,0,0,1,1,1,1
5952,118,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5953,118,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5954,118,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5955,118,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5956,118,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5957,118,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5958,119,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5959,119,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5960,119,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5961,119,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5962,119,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5963,119,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5964,119,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5965,119,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
